person,year_month,screen_time_seconds
adam schiff,2010-01-01,411
adam schiff,2010-02-01,153
adam schiff,2010-03-01,24
adam schiff,2010-04-01,36
adam schiff,2010-05-01,30
adam schiff,2010-06-01,45
adam schiff,2010-07-01,261
adam schiff,2010-08-01,12
adam schiff,2010-09-01,24
adam schiff,2010-10-01,144
adam schiff,2010-11-01,9
adam schiff,2010-12-01,102
adam schiff,2011-01-01,153
adam schiff,2011-02-01,756
adam schiff,2011-03-01,735
adam schiff,2011-04-01,21
adam schiff,2011-05-01,1074
adam schiff,2011-06-01,93
adam schiff,2011-07-01,591
adam schiff,2011-08-01,243
adam schiff,2011-09-01,207
adam schiff,2011-10-01,282
adam schiff,2011-11-01,285
adam schiff,2011-12-01,8
adam schiff,2012-01-01,267
adam schiff,2012-02-01,21
adam schiff,2012-03-01,21
adam schiff,2012-04-01,33
adam schiff,2012-05-01,282
adam schiff,2012-06-01,2185
adam schiff,2012-07-01,84
adam schiff,2012-08-01,36
adam schiff,2012-09-01,306
adam schiff,2012-10-01,256
adam schiff,2012-11-01,6526
adam schiff,2012-12-01,1905
adam schiff,2013-01-01,1746
adam schiff,2013-02-01,3165
adam schiff,2013-03-01,2304
adam schiff,2013-04-01,5017
adam schiff,2013-05-01,3805
adam schiff,2013-06-01,1727
adam schiff,2013-07-01,651
adam schiff,2013-08-01,5382
adam schiff,2013-09-01,2934
adam schiff,2013-10-01,3059
adam schiff,2013-11-01,2261
adam schiff,2013-12-01,3334
adam schiff,2014-01-01,2285
adam schiff,2014-02-01,2533
adam schiff,2014-03-01,2211
adam schiff,2014-04-01,1494
adam schiff,2014-05-01,4923
adam schiff,2014-06-01,2136
adam schiff,2014-07-01,2973
adam schiff,2014-08-01,4907
adam schiff,2014-09-01,6625
adam schiff,2014-10-01,1503
adam schiff,2014-11-01,2640
adam schiff,2014-12-01,1665
adam schiff,2015-01-01,4283
adam schiff,2015-02-01,6174
adam schiff,2015-03-01,3692
adam schiff,2015-04-01,2849
adam schiff,2015-05-01,1892
adam schiff,2015-06-01,3424
adam schiff,2015-07-01,2541
adam schiff,2015-08-01,1813
adam schiff,2015-09-01,1429
adam schiff,2015-10-01,12251
adam schiff,2015-11-01,3776
adam schiff,2015-12-01,6331
adam schiff,2016-01-01,1236
adam schiff,2016-02-01,327
adam schiff,2016-03-01,1957
adam schiff,2016-04-01,970
adam schiff,2016-05-01,3217
adam schiff,2016-06-01,6116
adam schiff,2016-07-01,2130
adam schiff,2016-08-01,996
adam schiff,2016-09-01,3765
adam schiff,2016-10-01,3974
adam schiff,2016-11-01,6018
adam schiff,2016-12-01,8404
adam schiff,2017-01-01,8028
